,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2017-02-01,0.30102320916165654,1.5989962829878064,0.6200740519252085,1.3942262905200855,-0.02949810440191493,0.2627881625909769,-0.1502308083831747,1.2047347412685885,1.5178581664655932,2.402809340443271,-0.46924540364323264
2017-03-01,0.5881939583937869,1.3902792715172356,0.6200740519252085,1.2544131978184194,-0.14479315239668372,-0.5425097341628168,-0.20382959735175848,1.3097639837239126,1.2647176941349327,2.144503279700843,-0.5217310037874364
2017-04-01,0.852568956222007,1.2207321334667254,0.44415321990804685,1.3103384348990859,0.45021491895220056,-0.5058457074238445,-0.20382959735175848,0.9427928078545142,1.2377286855777196,2.137309130549867,-0.528665391088812
2017-05-01,0.48838168154819706,1.0529393345675098,-0.1054202980038684,1.3662636719797523,0.46619738734880833,-0.03761937373388924,-0.30350200092612545,1.0503558106259931,0.7321526661125669,1.6940889591527022,-0.4698157799728795
2017-06-01,0.48838168154819706,0.622475666205119,0.07050053401329313,1.6458898573830842,0.3321975416716554,-0.056171559163785224,-0.6630016901661325,0.893443119667243,0.3922205452562279,1.3246491638313114,-0.8651831482959302
2017-07-01,-0.00480168717744309,0.7493442525329798,-0.18130262556646712,1.1158996182566188,0.3752237619153203,-0.32585921705594234,-0.20382959735175848,0.7947437432927005,0.16734900589724844,0.9786729946084627,-1.1590789237146746
2017-08-01,-0.13851818926133705,0.6651542179277683,-0.18130262556646712,0.836273432853287,0.8154910167018069,-0.5057018962252716,-0.30350200092612545,0.18971790788774276,0.6466409420013561,0.8259539764773504,-1.1815953883182078
2017-09-01,0.54732286361803,1.1798079208953707,-0.005381793549305554,1.3942262905200855,2.8631111262767455,-0.14587272668804005,-0.30350200092612545,0.6035050116282576,1.2667025437455686,2.5793667377283716,-0.9246031357415097
2017-10-01,1.5926307831391435,1.6065934381218632,0.30415398722646464,1.2544131978184194,1.6091242472470135,-0.2174620529032186,0.19486001694570948,0.8959768799833977,1.061633796754047,2.851131760675317,-0.9246031357415097
2017-11-01,0.4591978643419567,2.239761829138753,0.12823315520930306,1.0866374865764203,-0.0860462005691084,-0.2012327500554811,0.3556563838514608,1.0503558106259931,1.464585074547335,2.4094712203249866,-0.7415940114858475
2017-12-01,0.8233851390157665,1.6896164038869879,0.5623414307291985,0.171631166316376,-0.5551316435928156,-0.18268056462558516,0.9158942640704438,-0.06969026521017672,2.481691662309548,2.010825909230552,-0.8721175355973059
2018-01-01,1.4700227548896434,1.4756363749625343,0.6200740519252085,1.478114146141085,0.8560566444723927,0.443071185881126,0.8925668419662781,1.3679772983081202,1.2081798281915708,3.2692852759751165,-0.4167967213435977
2018-02-01,0.16033983754030984,1.9043457041736305,2.174137239727033,1.2544131978184194,0.2572063846347751,0.8930418670634321,0.8925668419662781,1.2604142955366413,1.3212555600782947,3.4997088841551505,-0.4252186893081389
